Id,SalePrice
1461,111294.74
1462,167142.78
1463,183573.19
1464,185040.19
1465,183052.88
1466,182367.47
1467,183691.88
1468,171132.19
1469,187888.72
1470,116978.03
1471,162420.4
1472,114215.48
1473,113048.984
1474,161150.8
1475,130489.266
1476,421624.84
1477,264153.75
1478,265293.62
1479,277502.78
1480,492966.62
1481,356627.2
1482,170110.72
1483,192273.48
1484,171190.1
1485,165824.94
1486,195423.84
1487,325556.03
1488,251295.28
1489,206603.19
1490,203936.03
1491,200959.2
1492,103168.13
1493,174142.81
1494,306804.25
1495,307328.3
1496,248174.25
1497,206243.72
1498,150180.31
1499,156983.78
1500,153677.55
1501,177587.61
1502,151257.95
1503,315966.12
1504,232623.72
1505,219704.92
1506,203899.14
1507,228887.31
1508,194414.64
1509,152046.7
1510,138435.97
1511,145203.5
1512,175017.19
1513,151620.05
1514,258598.94
1515,204702.4
1516,134674.1
1517,158096.44
1518,172830.86
1519,243979.31
1520,129835.82
1521,136016.02
1522,165443.61
1523,115236.51
1524,138411.86
1525,127018.55
1526,123481.02
1527,85915.45
1528,131001.59
1529,146254.83
1530,206902.6
1531,104973.14
1532,132939.64
1533,172589.12
1534,129612.9
1535,134313.16
1536,126877.164
1537,59249.098
1538,155179.89
1539,172182.0
1540,124906.93
1541,165281.92
1542,180333.25
1543,206249.33
1544,104589.23
1545,125632.625
1546,116379.95
1547,138922.1
1548,143790.83
1549,97946.84
1550,125250.26
1551,123115.734
1552,137572.16
1553,152064.2
1554,133797.11
1555,144758.2
1556,91097.85
1557,119162.086
1558,97063.25
1559,96600.52
1560,131291.58
1561,164174.28
1562,124845.21
1563,101885.28
1564,153755.22
1565,126869.23
1566,229399.98
1567,58668.67
1568,195491.81
1569,134207.11
1570,138946.97
1571,133992.03
1572,145817.67
1573,239886.03
1574,113827.13
1575,195640.97
1576,230012.23
1577,242148.02
1578,135336.14
1579,147306.8
1580,205570.36
1581,157914.14
1582,126667.15
1583,354734.34
1584,236011.45
1585,139030.42
1586,59373.777
1587,98066.08
1588,146489.31
1589,102116.53
1590,152208.4
1591,110208.2
1592,133550.17
1593,112077.33
1594,157328.02
1595,108420.2
1596,261573.27
1597,165090.62
1598,183999.34
1599,171050.19
1600,171982.08
1601,69526.75
1602,106616.51
1603,100749.46
1604,277851.34
1605,265416.47
1606,162156.2
1607,210532.03
1608,262764.78
1609,205367.98
1610,170541.52
1611,149421.11
1612,197090.61
1613,211002.1
1614,129093.88
1615,115258.125
1616,92417.93
1617,109273.805
1618,125217.35
1619,134493.62
1620,173664.28
1621,134985.9
1622,151908.89
1623,320247.9
